Drug Name,Company,Active Ingredient,Indication,Dosage and Administration,Side Effects,Use in pregnancy,,
Nexum,SK+F,Esomeprazole Magnesium,"GERD, erosive esophagitis",20–40 mg once daily,"Headache, flatulence, abdominal pain",Use only if clearly needed,,
Omastin,SK+F,Omeprazole,"Peptic ulcer, GERD",20 mg daily before meals,"Nausea, headache",Use only if clearly needed,,
Pantocid,SK+F,Pantoprazole Sodium,"GERD, Zollinger-Ellison syndrome",40 mg once daily,"Dizziness, diarrhea",Use only if clearly needed,,
Rabezol,SK+F,Rabeprazole Sodium,"Duodenal ulcer, acid reflux",10–20 mg once daily,"Headache, dry mouth",Use only if clearly needed,,
Lansopril,SK+F,Lansoprazole,"GERD, erosive esophagitis",15–30 mg once daily,"Rash, nausea",Use only if clearly needed,,
Omenix MUPS,SK+F,Omeprazole,"GERD, duodenal ulcer",20 mg once daily,"Diarrhea, headache",Use only if clearly needed,,
Esomax,SK+F,Esomeprazole Magnesium,"GERD, NSAID-associated ulcer",20–40 mg daily,"Headache, constipation",Use only if clearly needed,,
Pantocid IV,SK+F,Pantoprazole Sodium (IV),"Stress ulcer prophylaxis, severe GERD",40 mg daily,Injection site reaction,Use only if clearly needed,,
Rabezol HP Kit,SK+F,Rabeprazole + Clarithromycin + Amoxicillin,H. pylori eradication,Standard triple therapy,"Taste changes, nausea",Use only if benefit outweighs risk,,
Nexum IV,SK+F,Esomeprazole Sodium (IV),"GERD, erosive esophagitis, bleeding ulcers",20–40 mg daily,"Local irritation, dizziness",Use only if clearly needed,,
Antacid-SKF,SK+F,Aluminium Hydroxide + Magnesium Hydroxide,"Dyspepsia, hyperacidity",1–2 teaspoons after meals,"Chalky taste, constipation",Generally considered safe,,
Lansopril MUPS,SK+F,Lansoprazole,"Peptic ulcer, erosive esophagitis",15–30 mg once daily,"Abdominal pain, dry mouth",Use only if clearly needed,,
Omastin HP Pack,SK+F,Omeprazole + Clarithromycin + Amoxicillin,H. pylori eradication,Twice daily for 7–10 days,"Nausea, diarrhea",Use only if benefit outweighs risk,,
Refluxaid,SK+F,Sodium Alginate + Potassium Bicarbonate,"Acid reflux, heartburn",10–20 ml after meals and at bedtime,"Bloating, flatulence",Generally safe; consult physician,,
Pantocid MUPS,SK+F,Pantoprazole Sodium (MUPS formulation),"Peptic ulcer, GERD",40 mg once daily,"Nausea, flatulence",Use only if clearly needed,,
Omeprazol-R,Renata,Omeprazole,"GERD, peptic ulcers, Zollinger-Ellison syndrome",20-40 mg once daily before meals,"Headache, nausea, diarrhea",Use only if benefit justifies risk,,
Rabeprazol-R,Renata,Rabeprazole Sodium,"Gastric & duodenal ulcers, GERD",20 mg once daily before breakfast,"Abdominal pain, constipation",Use only if clearly needed,,
Pantoprazol-R,Renata,Pantoprazole Sodium,"GERD, erosive esophagitis, Zollinger-Ellison",40 mg once daily,"Nausea, dizziness, headache",Use only if clearly needed,,
Esomeprazol-R,Renata,Esomeprazole Magnesium,"GERD, erosive esophagitis, gastric ulcers",20-40 mg once daily 30-60 min before meals,"Constipation, headache",Use only if clearly needed,,
Famotidin-R,Renata,Famotidine,"GERD, duodenal ulcer, Zollinger-Ellison syndrome",20 mg twice daily or 40 mg once daily at night,"Headache, dizziness, constipation",Use only if benefit justifies risk,,
Ranitidin-R,Renata,Ranitidine Hydrochloride,"Peptic ulcers, GERD, Zollinger-Ellison syndrome",150 mg twice daily or 300 mg at bedtime,"Headache, diarrhea",Generally safe (Category B),,
Omeprazol IV-R,Renata,Omeprazole (IV),"Zollinger-Ellison syndrome, stress ulcer prophylaxis",40 mg IV once daily,"Injection site reaction, headache",Use only if clearly needed,,
Panopro-R,Renata,Pantoprazole Sodium,"Gastric ulcer, GERD, duodenal ulcer",40 mg once daily,"Nausea, vomiting, dizziness",Use only if clearly needed,,
Rabuxol-R,Renata,Rabeprazole Sodium,"Acid-related disorders, H. pylori eradication",20 mg once or twice daily,"Headache, gas, constipation",Use only if clearly needed,,
Omeflux-R,Renata,Omeprazole,"GERD, acid reflux, gastric ulcer",20 mg daily before breakfast,"Abdominal pain, flatulence",Use only if clearly needed,,
Omepril,Opsonin ,Omeprazole,"GERD, peptic ulcers, Zollinger-Ellison syndrome",20-40 mg once daily before meals,"Headache, nausea, diarrhea",Use only if benefit justifies risk,,
Rabeprazol-OP,Opsonin ,Rabeprazole Sodium,"GERD, duodenal ulcers, H. pylori eradication",20 mg once daily before breakfast,"Abdominal pain, constipation",Use only if clearly needed,,
Pantazol,Opsonin ,Pantoprazole Sodium,"GERD, erosive esophagitis, gastric ulcers",40 mg once daily,"Nausea, dizziness, headache",Use only if clearly needed,,
Esomac-OP,Opsonin ,Esomeprazole Magnesium,"GERD, erosive esophagitis",20-40 mg once daily 30-60 min before meals,"Constipation, headache",Use only if clearly needed,,
Famotid-OP,Opsonin ,Famotidine,"GERD, duodenal ulcer, Zollinger-Ellison syndrome",20 mg twice daily or 40 mg once at bedtime,"Headache, dizziness, constipation",Use only if benefit justifies risk,,
Ranid-OP,Opsonin ,Ranitidine Hydrochloride,"Peptic ulcers, GERD",150 mg twice daily or 300 mg at bedtime,"Headache, diarrhea",Generally safe (Category B),,
Omeprol IV,Opsonin ,Omeprazole (IV),"Zollinger-Ellison syndrome, stress ulcer prophylaxis",40 mg IV once daily,"Injection site reaction, headache",Use only if clearly needed,,
Pantoloc-OP,Opsonin ,Pantoprazole Sodium,"Gastric ulcer, GERD, duodenal ulcer",40 mg once daily,"Nausea, vomiting, dizziness",Use only if clearly needed,,
Rabemac-OP,Opsonin ,Rabeprazole Sodium,"Acid-related disorders, H. pylori eradication",20 mg once or twice daily,"Headache, gas, constipation",Use only if clearly needed,,
Omeprazol-OP,Opsonin ,Omeprazole,"GERD, acid reflux, gastric ulcer",20 mg daily before breakfast,"Abdominal pain, flatulence",Use only if clearly needed,,
Omepril-H,Healthcare Pharmaceuticals,Omeprazole,"GERD, peptic ulcers, Zollinger-Ellison syndrome",20-40 mg once daily before meals,"Headache, nausea, diarrhea",Use only if clearly needed,,
Rabepraz-H,Healthcare Pharmaceuticals,Rabeprazole Sodium,"GERD, duodenal ulcers, H. pylori eradication",20 mg once daily before breakfast,"Abdominal pain, constipation",Use only if clearly needed,,
Pantazol-H,Healthcare Pharmaceuticals,Pantoprazole Sodium,"GERD, erosive esophagitis, gastric ulcers",40 mg once daily,"Nausea, dizziness, headache",Use only if clearly needed,,
Esomepraz-H,Healthcare Pharmaceuticals,Esomeprazole Magnesium,"GERD, erosive esophagitis",20-40 mg once daily 30-60 min before meals,"Constipation, headache",Use only if clearly needed,,
Famotid-H,Healthcare Pharmaceuticals,Famotidine,"GERD, duodenal ulcer, Zollinger-Ellison syndrome",20 mg twice daily or 40 mg once at bedtime,"Headache, dizziness, constipation",Use only if benefit justifies risk,,
Ranid-H,Healthcare Pharmaceuticals,Ranitidine Hydrochloride,"Peptic ulcers, GERD",150 mg twice daily or 300 mg at bedtime,"Headache, diarrhea",Generally safe (Category B),,
Omeprol IV-H,Healthcare Pharmaceuticals,Omeprazole (IV),"Zollinger-Ellison syndrome, stress ulcer prophylaxis",40 mg IV once daily,"Injection site reaction, headache",Use only if clearly needed,,
Pantoloc-H,Healthcare Pharmaceuticals,Pantoprazole Sodium,"Gastric ulcer, GERD, duodenal ulcer",40 mg once daily,"Nausea, vomiting, dizziness",Use only if clearly needed,,
Rabemac-H,Healthcare Pharmaceuticals,Rabeprazole Sodium,"Acid-related disorders, H. pylori eradication",20 mg once or twice daily,"Headache, gas, constipation",Use only if clearly needed,,
Omeprazol-H,Healthcare Pharmaceuticals,Omeprazole,"GERD, acid reflux, gastric ulcer",20 mg daily before breakfast,"Abdominal pain, flatulence",Use only if clearly needed,,
Orsaline-N,Square Pharmaceuticals Ltd.,Oral Rehydration Salts (ORS),"Dehydration due to diarrhea, vomiting",Dissolve in 500 ml water; administer frequently after each stool,,,,Safe in pregnancy
Seclo-D,Square Pharmaceuticals Ltd.,Omeprazole + Domperidone,"Nausea, vomiting, acid reflux with diarrhea",20 mg Omeprazole + 10 mg Domperidone before meals,,,,Use if benefit outweighs risk
Racefast,Square Pharmaceuticals Ltd.,Racecadotril,Acute diarrhea (non-bacterial),Adults: 100 mg TID before meals; Children: weight-based dosing,,,,Use only if clearly needed
Loperamide,Square Pharmaceuticals Ltd.,Loperamide hydrochloride,Symptomatic treatment of acute or chronic diarrhea,"Initial: 4 mg, then 2 mg after each loose stool (max 16 mg/day)",,,,Use with caution; avoid in 1st trimester
ZincSquare,Square Pharmaceuticals Ltd.,Zinc sulfate monohydrate,"Zinc deficiency, diarrhea in children",Children: 20 mg daily for 10–14 days,,,,Safe in pregnancy
Ciprocin,Square Pharmaceuticals Ltd.,Ciprofloxacin,"Bacterial diarrhea, traveler’s diarrhea",500–750 mg BID for 3–5 days,,,,Avoid unless clearly necessary
Azicin,Square Pharmaceuticals Ltd.,Azithromycin,"Bacterial diarrhea, dysentery",500 mg once daily for 3 days,,,,Use only if benefit outweighs risk
Metronidazole S,Square Pharmaceuticals Ltd.,Metronidazole,"Amoebiasis, giardiasis, anaerobic infections",400–800 mg TID for 5–10 days,,,,"Use with caution, especially in 1st trimester"
Nalitix,Square Pharmaceuticals Ltd.,Nalidixic Acid,Acute or chronic urinary/GI infections,1 g every 6 hours for 1–2 weeks,,,,Avoid in pregnancy
Tynoril,Square Pharmaceuticals Ltd.,Tynorphine + Electrolytes,Rehydration and fluid loss,Dose depends on degree of dehydration,,,,Generally safe
Spiral S,Square Pharmaceuticals Ltd.,Spiramycin,Diarrhea of bacterial origin (esp. GI),3 MIU BID for 5 days,,,,Use if clearly needed
Diocta S,Square Pharmaceuticals Ltd.,Dioctahedral Smectite,Diarrhea in children & adults,Children: 1 sachet/day; Adults: 2–3 sachets/day,,,,Safe in pregnancy
ORS Plus,Square Pharmaceuticals Ltd.,ORS with Zinc,Dehydration & zinc deficiency in diarrhea,One sachet dissolved in 500 ml water + zinc tab once daily,,,,Safe in pregnancy
Norvis,Square Pharmaceuticals Ltd.,Norfloxacin,"Infectious diarrhea, traveler's diarrhea",400 mg BID for 3–5 days,,,,Avoid unless necessary
Enteroquinol,Square Pharmaceuticals Ltd.,Iodoquinol,"Amoebiasis, diarrhea due to intestinal protozoa",650 mg TID for 20 days (adults),,,,Avoid unless essential
ORS Beximco,Beximco Pharmaceuticals Ltd.,Oral Rehydration Salts (ORS),"Dehydration due to diarrhea, vomiting",Dissolve in 500 ml water; administer frequently after each stool,,,,Safe in pregnancy
Zinc Beximco,Beximco Pharmaceuticals Ltd.,Zinc sulfate monohydrate,"Zinc deficiency, diarrhea in children",Children: 20 mg daily for 10–14 days,,,,Safe in pregnancy
Racecadotril Beximco,Beximco Pharmaceuticals Ltd.,Racecadotril,Acute diarrhea (non-bacterial),Adults: 100 mg TID before meals; Children: weight-based dosing,,,,Use only if clearly needed
Loperamide Beximco,Beximco Pharmaceuticals Ltd.,Loperamide hydrochloride,Symptomatic treatment of acute or chronic diarrhea,"Initial: 4 mg, then 2 mg after each loose stool (max 16 mg/day)",,,,Use with caution; avoid in 1st trimester
Ciprofloxacin Beximco,Beximco Pharmaceuticals Ltd.,Ciprofloxacin,"Bacterial diarrhea, traveler's diarrhea",500–750 mg BID for 3–5 days,,,,Avoid unless clearly necessary
Azithromycin Beximco,Beximco Pharmaceuticals Ltd.,Azithromycin,"Bacterial diarrhea, dysentery",500 mg once daily for 3 days,,,,Use only if benefit outweighs risk
Metronidazole Beximco,Beximco Pharmaceuticals Ltd.,Metronidazole,"Amoebiasis, giardiasis, anaerobic infections",400–800 mg TID for 5–10 days,,,,"Use with caution, especially in 1st trimester"
Nalidixic Acid Beximco,Beximco Pharmaceuticals Ltd.,Nalidixic Acid,Acute or chronic urinary/GI infections,1 g every 6 hours for 1–2 weeks,,,,Avoid in pregnancy
Domperidone Beximco,Beximco Pharmaceuticals Ltd.,Domperidone,"Nausea, vomiting associated with diarrhea",10 mg TID before meals,,,,Use if benefit outweighs risk
Spiramycin Beximco,Beximco Pharmaceuticals Ltd.,Spiramycin,Diarrhea of bacterial origin (esp. GI),3 MIU BID for 5 days,,,,Use if clearly needed
Dioctahedral Smectite Beximco,Beximco Pharmaceuticals Ltd.,Dioctahedral Smectite,Diarrhea in children & adults,Children: 1 sachet/day; Adults: 2–3 sachets/day,,,,Safe in pregnancy
ORS-Zinc Combo Beximco,Beximco Pharmaceuticals Ltd.,ORS with Zinc,Dehydration & zinc deficiency in diarrhea,One sachet dissolved in 500 ml water + zinc tab once daily,,,,Safe in pregnancy
Norfloxacin Beximco,Beximco Pharmaceuticals Ltd.,Norfloxacin,"Infectious diarrhea, traveler's diarrhea",400 mg BID for 3–5 days,,,,Avoid unless necessary
Iodoquinol Beximco,Beximco Pharmaceuticals Ltd.,Iodoquinol,"Amoebiasis, diarrhea due to intestinal protozoa",650 mg TID for 20 days (adults),,,,Avoid unless essential
Saloride-IV,Beximco Pharmaceuticals Ltd.,Sodium Chloride IV Solution,"Dehydration, electrolyte imbalance",Administer intravenously as per physician's direction,,,,Use with caution; consult physician
Orsaline-N,ACI ,Oral Rehydration Salts (ORS),Dehydration due to diarrhea or vomiting,"Dissolve contents in 500 ml water, take sips frequently",,,,Safe; recommended during pregnancy
Entacyd Plus,ACI ,Dicyclomine + Simethicone,"Abdominal cramps, diarrhea with bloating",1–2 tablets 3 times daily,,,,Use with caution
Racefast,ACI ,Racecadotril,Acute diarrhea,Adults: 100 mg TID; Children: 1.5 mg/kg TID,,,,Use only if clearly needed
Zincet Syrup,ACI ,Zinc Sulfate Monohydrate,"Pediatric diarrhea, zinc supplementation",20 mg once daily for 10–14 days,,,,Safe during pregnancy if needed
Loperan Capsule,ACI ,Loperamide Hydrochloride,Acute and chronic diarrhea,"2 mg after each loose stool, max 16 mg/day",,,,Use only if clearly indicated
Seclo,ACI ,Omeprazole,Diarrhea due to acid-related GI disturbances,20 mg once daily before meals,,,,Use only if benefit outweighs risk
Ciprocin 500,ACI ,Ciprofloxacin,Infectious diarrhea caused by bacteria,500 mg every 12 hours for 5–7 days,,,,Use only if necessary; avoid in first trimester
Metronidazole 400,ACI ,Metronidazole,"Amoebiasis, Giardiasis, bacterial diarrhea",400–800 mg TID for 5–10 days,,,,Contraindicated in first trimester
Flagentyl,ACI ,Secnidazole,Bacterial and parasitic diarrhea,Single dose 2 g orally,,,,Avoid in early pregnancy
ORS Junior,ACI ,Oral Rehydration Salts (Pediatric),Dehydration in children,Dissolve full sachet in 250 ml water; administer frequently,,,,Safe during pregnancy
Bactacin,ACI ,Norfloxacin + Tinidazole,"Infectious diarrhea, dysentery",1 tablet BID for 3–5 days,,,,Use only if necessary
Zoral Suspension,ACI ,Zinc Sulfate,Management of diarrhea in children,20 mg daily for 10–14 days,,,,Safe in pregnancy
Entacyd Suspension,ACI ,Dicyclomine + Simethicone,Abdominal discomfort with diarrhea in children,As directed by physician (based on age),,,,Use with caution
Loperan Plus,ACI ,Loperamide + Simethicone,Diarrhea with bloating or gas,"1–2 tablets initially, then 1 after each loose stool",,,,Not recommended in pregnancy unless necessary
Ciprocin DS,ACI ,Ciprofloxacin,Severe bacterial diarrhea or dysentery,500–750 mg every 12 hours,,,,Use with caution; avoid in early pregnancy
Lopamid,Incepta Pharmaceuticals,Loperamide Hydrochloride,Acute and chronic diarrhea,"2 mg after first loose stool, then 1 mg after each, max 8 mg/day",,,,Use with caution
Race,Incepta Pharmaceuticals,Racecadotril,Acute diarrhea,Adults: 100 mg TID; Children: 1.5 mg/kg TID,,,,Use only if clearly needed
Zincet,Incepta Pharmaceuticals,Zinc Sulfate Monohydrate,"Zinc deficiency, pediatric diarrhea",20 mg daily for 10–14 days,,,,Safe in pregnancy
Orsaline,Incepta Pharmaceuticals,Oral Rehydration Salts (ORS),Dehydration from diarrhea or vomiting,Dissolve in water; frequent small sips,,,,Safe and recommended
Lopamid Plus,Incepta Pharmaceuticals,Loperamide + Simethicone,Diarrhea with gas or abdominal cramps,"1–2 tablets after loose stools, max 4 tablets/day",,,,Use with caution
Nortrix,Incepta Pharmaceuticals,Norfloxacin + Tinidazole,"Bacterial diarrhea, amoebiasis",1 tablet BID for 3–5 days,,,,Use only if clearly needed
Tinisol,Incepta Pharmaceuticals,Tinidazole,"Amoebiasis, giardiasis",2 g single dose or as directed,,,,Avoid in the first trimester
Ciprocin,Incepta Pharmaceuticals,Ciprofloxacin,Infectious diarrhea,500 mg every 12 hours for 5–7 days,,,,Avoid in first trimester
Metodazole,Incepta Pharmaceuticals,Metronidazole,"Amoebiasis, bacterial diarrhea, giardiasis",400–800 mg TID for 7–10 days,,,,Avoid in first trimester
Zinacef ORS,Incepta Pharmaceuticals,Zinc Sulfate + ORS,Pediatric diarrhea and dehydration,20 mg zinc + ORS sachet per day for 10–14 days,,,,Safe and recommended
Secnidal,Incepta Pharmaceuticals,Secnidazole,"Amoebiasis, bacterial diarrhea",2 g single oral dose,,,,Avoid in first trimester
Flocar,Incepta Pharmaceuticals,Furazolidone + Metronidazole,"Infectious diarrhea, dysentery",1 tablet TID for 5–7 days,,,,Avoid unless essential
Racekid,Incepta Pharmaceuticals,Racecadotril (Pediatric),Pediatric acute diarrhea,1.5 mg/kg/dose every 8 hours,,,,Safe under supervision
Zinprobio,Incepta Pharmaceuticals,Zinc + Probiotic blend,"Diarrhea in children, gut health",1 sachet once daily for 10 days,,,,Safe under medical supervision
Ince ORS Gold,Incepta Pharmaceuticals,Oral Rehydration Salts (Enhanced Formula),"Severe dehydration, cholera","Dissolve in 500 ml water, small sips frequently",,,,Safe and highly recommended
Lopamide,ACME Laboratories Ltd.,Loperamide Hydrochloride,Acute and chronic diarrhea,"2 mg after first loose stool, then 1 mg after each episode, max 8 mg/day",,,,Use with caution
Zincet,ACME Laboratories Ltd.,Zinc Sulfate Monohydrate,"Zinc deficiency, pediatric diarrhea",20 mg daily for 10–14 days,,,,Safe and recommended
ACME ORSaline,ACME Laboratories Ltd.,Oral Rehydration Salts (ORS),Dehydration due to diarrhea or vomiting,Dissolve in 500 ml water; drink frequently in small sips,,,,Safe and essential
Racecure,ACME Laboratories Ltd.,Racecadotril,Acute diarrhea,Adults: 100 mg TID; Pediatric: 1.5 mg/kg TID,,,,Use only if clearly needed
Noramet,ACME Laboratories Ltd.,Norfloxacin + Metronidazole,"Bacterial diarrhea, amoebiasis",1 tablet BID for 5 days,,,,Avoid in early pregnancy
Flagyl ACME,ACME Laboratories Ltd.,Metronidazole,"Amoebiasis, giardiasis, bacterial diarrhea",400–800 mg TID for 7–10 days,,,,Contraindicated in first trimester
Zioral,ACME Laboratories Ltd.,Zinc Sulfate + ORS,Pediatric diarrhea with dehydration,20 mg zinc + 1 ORS sachet daily for 10–14 days,,,,Safe during pregnancy
Tiniza,ACME Laboratories Ltd.,Tinidazole,"Giardiasis, amoebiasis, bacterial diarrhea",2 g single oral dose,,,,Avoid in first trimester
Loparid Plus,ACME Laboratories Ltd.,Loperamide + Simethicone,Diarrhea with gas or cramps,2 tablets daily or as needed,,,,Use only when necessary
Enterozinc,ACME Laboratories Ltd.,Zinc + Lactobacillus,Diarrhea in children and adults,1 tablet or sachet daily for 10–14 days,,,,Safe under medical advice
Secnidal ACME,ACME Laboratories Ltd.,Secnidazole,"Amoebiasis, bacterial diarrhea",2 g single dose,,,,Avoid in early pregnancy
Orolyte,ACME Laboratories Ltd.,ORS with Glucose & Electrolytes,Severe dehydration,"One sachet in 1 liter water, sip frequently",,,,Safe and essential
Furazolidin,ACME Laboratories Ltd.,Furazolidone,"Infectious diarrhea, bacterial dysentery",100 mg QID for 5–7 days,,,,Not recommended unless essential
Dizinc Kid,ACME Laboratories Ltd.,Zinc Sulfate (Pediatric drops),Zinc supplementation in children,10 mg daily for infants under 6 months; 20 mg over 6 months,,,,Safe under supervision
ProbioCare,ACME Laboratories Ltd.,Probiotics Blend (Lactobacillus + Bifidobacterium),Antibiotic-associated and infectious diarrhea,1–2 capsules or sachets daily,,,,Safe under medical guidance
Lopra,Aristopharma ,Loperamide Hydrochloride,Acute and chronic diarrhea,"2 mg after first loose stool, then 1 mg after each episode, max 8 mg/day",,,,Use with caution
ZinC,Aristopharma ,Zinc Sulfate Monohydrate,"Zinc deficiency, pediatric diarrhea",20 mg daily for 10–14 days,,,,Safe and recommended
Electral,Aristopharma ,Oral Rehydration Salts (ORS),Diarrhea-related dehydration,Dissolve 1 sachet in 500 ml water and drink frequently,,,,Safe and essential
Racefyl,Aristopharma ,Racecadotril,Acute diarrhea in adults and children,Adults: 100 mg TID; Children: 1.5 mg/kg TID,,,,Use only if clearly needed
Nortid,Aristopharma ,Norfloxacin + Tinidazole,"Bacterial diarrhea, amoebiasis",1 tablet BID for 3–5 days,,,,Avoid in first trimester
Metryl,Aristopharma ,Metronidazole,"Bacterial diarrhea, amoebiasis, giardiasis",400–800 mg TID for 7–10 days,,,,Avoid in first trimester
ZinSalin,Aristopharma ,Zinc Sulfate + ORS,Pediatric diarrhea and dehydration,20 mg zinc + 1 ORS sachet daily,,,,Safe during pregnancy
Tinizol,Aristopharma ,Tinidazole,"Amoebiasis, giardiasis, bacterial diarrhea",2 g single oral dose,,,,Avoid in first trimester
Lopra Plus,Aristopharma ,Loperamide + Simethicone,Diarrhea with abdominal cramps,1–2 tablets daily as needed,,,,Use with caution
Zinkid,Aristopharma ,Zinc Sulfate (Pediatric Drops),"Pediatric diarrhea, zinc supplementation",10–20 mg daily based on age,,,,Safe under supervision
Seclazid,Aristopharma ,Secnidazole,"Amoebiasis, bacterial diarrhea",2 g single dose,,,,Avoid in first trimester
ORSaline Pediatric,Aristopharma ,ORS for Children,Dehydration from diarrhea or vomiting,"1 sachet in 500 ml water, small sips frequently",,,,Safe and highly recommended
Probioris,Aristopharma ,Probiotic Blend,"Supportive therapy in diarrhea, gut flora balance",1 capsule/sachet once or twice daily,,,,Safe under guidance
Enterolac,Aristopharma ,Lactic Acid Bacillus,"Antibiotic-associated diarrhea, gut flora support",1–2 capsules or sachets daily,,,,Considered safe
Furadon,Aristopharma ,Furazolidone,"Infectious diarrhea, dysentery",100 mg QID for 5 days,,,,Avoid unless absolutely necessary
Electral,SK+F ,"Glucose, Sodium chloride, Potassium chloride, Sodium bicarbonate",Oral rehydration therapy for diarrhea-induced dehydration,Dissolve 1 sachet in 200 ml water; administer as per dehydration severity,,,,Safe to use
Diarex,SK+F,Racecadotril,Symptomatic treatment of acute diarrhea,Adults: 100 mg TID after meals; Children: weight-based dosing,,,,Use only if benefits outweigh risks
Oralite,SK+F,"Sodium chloride, Potassium chloride, Sodium citrate, Glucose",Oral rehydration in diarrhea and dehydration,"1 sachet in 200 ml water, repeated as needed",,,,Safe
Diastop,SK+F,Loperamide hydrochloride,Control of acute non-specific diarrhea,"Adults: 2 mg after first loose stool, then 1 mg after each subsequent stool (max 8 mg/day)",,,,Not recommended
Hydralyte,SK+F,"Sodium chloride, Potassium chloride, Sodium citrate, Glucose",Rehydration in diarrhea-related dehydration,1 sachet in 200 ml water; repeat as necessary,,,,Safe
Imodium,SK+F,Loperamide hydrochloride,Treatment of acute diarrhea,"Adults: 4 mg initially, then 2 mg after each loose stool (max 16 mg/day)",,,,Avoid during pregnancy
Rehydralyte Plus,SK+F,Electrolytes + Zinc,Oral rehydration with zinc supplementation for diarrhea,"1 sachet in 200 ml water, 2-3 times daily",,,,Safe
Gastrolit,SK+F,"Sodium chloride, Potassium chloride, Sodium bicarbonate, Glucose",Oral rehydration in diarrhea and vomiting-induced dehydration,1 sachet dissolved in water; administer as needed,,,,Safe
Enterolyte,SK+F,Electrolytes + Glucose,Management of dehydration from diarrhea,"1 sachet in 200 ml water, repeat as needed",,,,Safe
Zinconia,SK+F,Zinc sulfate,Adjunct therapy in diarrhea to reduce duration,Adults: 20 mg daily; Children: 10-20 mg daily for 10-14 days,,,,Safe and recommended
Opsonlax,Opsonin,Loperamide Hydrochloride,Acute diarrhea,"Adults: 2 mg after first stool, then 1 mg after each stool (max 8 mg/day)",,,,Not recommended
Opsoral,Opsonin,"Sodium chloride, Potassium chloride, Sodium bicarbonate, Glucose",Oral rehydration therapy for dehydration due to diarrhea,"1 sachet dissolved in 200 ml water, repeated as needed",,,,Safe
Opsazinc,Opsonin,Zinc sulfate,Adjunct therapy to reduce duration of diarrhea,Adults: 20 mg daily; Children: 10-20 mg daily for 10-14 days,,,,Safe and recommended
Opsadryl,Opsonin,Racecadotril,Symptomatic treatment of acute diarrhea,Adults: 100 mg TID after meals,,,,Use if benefits outweigh risks
Opsadry Plus,Opsonin,Electrolytes + Zinc,Rehydration and zinc supplementation in diarrhea,"1 sachet in 200 ml water, 2-3 times daily",,,,Safe
Opshydral,Opsonin,"Sodium chloride, Potassium chloride, Sodium citrate, Glucose",Oral rehydration in diarrhea-induced dehydration,"1 sachet dissolved in water, repeat as necessary",,,,Safe
Opsonorm,Opsonin,Racecadotril,Acute diarrhea treatment,100 mg three times daily after meals,,,,Use with caution
Opsentrol,Opsonin,Loperamide Hydrochloride,Control of diarrhea,"Adults: Initial 4 mg, then 2 mg after each stool (max 16 mg/day)",,,,Avoid during pregnancy
Opsrebal,Opsonin,Electrolytes + Glucose,Management of dehydration due to diarrhea,"1 sachet dissolved in 200 ml water, repeat as needed",,,,Safe
Opsgastro,Opsonin,"Sodium chloride, Potassium chloride, Glucose",Oral rehydration in gastroenteritis and diarrhea,"1 sachet in 200 ml water, repeat as necessary",,,,
Renoral,Renata,"Sodium chloride, Potassium chloride, Sodium bicarbonate, Glucose",Oral rehydration in diarrhea-induced dehydration,"1 sachet dissolved in 200 ml water, repeated as needed",,,,Safe
Renazinc,Renata,Zinc sulfate,Adjunct in diarrhea to reduce duration,Adults: 20 mg daily; Children: 10-20 mg daily for 10-14 days,,,,Safe and recommended
Renadryl,Renata,Racecadotril,Symptomatic treatment of acute diarrhea,Adults: 100 mg TID after meals,,,,Use only if benefits outweigh risks
Renolyte,Renata,Electrolytes + Glucose,Rehydration therapy for diarrhea and dehydration,"1 sachet in 200 ml water, repeat as needed",,,,Safe
Renaloid,Renata,Loperamide Hydrochloride,Control of acute diarrhea,"Adults: 2 mg after first stool, then 1 mg after each stool (max 8 mg/day)",,,,Not recommended
Renazoral,Renata,Zinc sulfate + Electrolytes,Oral rehydration with zinc supplementation,"1 sachet in 200 ml water, 2-3 times daily",,,,Safe
Renatect,Renata,Racecadotril,Acute diarrhea treatment,100 mg three times daily after meals,,,,Use with caution
Renaset,Renata,"Sodium chloride, Potassium chloride, Glucose",Oral rehydration in diarrhea and vomiting,"1 sachet dissolved in water, repeat as necessary",,,,Safe
Renovite,Renata,Electrolytes + Glucose,Management of dehydration due to diarrhea,"1 sachet dissolved in 200 ml water, repeat as needed",,,,Safe
Renoral Plus,Renata,Electrolytes + Zinc,Oral rehydration and zinc supplementation,"1 sachet in 200 ml water, 2-3 times daily",,,,Safe
Healthoral,Healthcare Pharmaceuticals Ltd,"Sodium chloride, Potassium chloride, Sodium bicarbonate, Glucose",Oral rehydration therapy for dehydration due to diarrhea,"1 sachet dissolved in 200 ml water, repeated as needed",,,,Safe
Healthzinc,Healthcare Pharmaceuticals Ltd,Zinc sulfate,Adjunct therapy to reduce duration of diarrhea,Adults: 20 mg daily; Children: 10-20 mg daily for 10-14 days,,,,Safe and recommended
Healthdia,Healthcare Pharmaceuticals Ltd,Racecadotril,Symptomatic treatment of acute diarrhea,Adults: 100 mg TID after meals,,,,Use only if benefits outweigh risks
Healthrehyd,Healthcare Pharmaceuticals Ltd,Electrolytes + Glucose,Rehydration therapy for diarrhea-induced dehydration,"1 sachet dissolved in 200 ml water, repeat as needed",,,,Safe
